STUDYPROGRAMSYSTEM	ACADYEAR	SEMESTER	COURSECODE	SECTION	NAMEENGLISHABBR	INSTRUCTORS	AVG_GPA
S	2006	1	5500192	3	SPK COMM	STAFF	3.75
S	2006	2	5500192	1	SPK COMM	STAFF	3.50
S	2006	2	5500192	2	SPK COMM	STAFF	3.44
S	2006	2	5500192	3	SPK COMM	STAFF	3.50
S	2006	1	5500194	1	LISTEN ENG	STAFF	4.00
S	2006	2	5500194	1	LISTEN ENG	STAFF	3.75
S	2006	2	5500208	1	COM PRES SKIL	STAFF	3.53
S	2006	2	5500208	2	COM PRES SKIL	STAFF	3.55
S	2006	2	5500208	3	COM PRES SKIL	STAFF	3.31
S	2006	2	5500308	1	TECH WRIT ENG	STAFF	2.95
S	2006	2	5500308	2	TECH WRIT ENG	STAFF	3.03
S	2006	2	5500308	3	TECH WRIT ENG	STAFF	2.98
S	2006	2	5500492	1	PROF ENG TRAV	STAFF	4.00
S	2006	1	5500494	1	PROF ENG SCI TECH	STAFF	3.83
S	2006	1	5500494	2	PROF ENG SCI TECH	STAFF	4.00
S	2006	2	5500494	1	PROF ENG SCI TECH	STAFF	3.21
S	2006	2	5500494	2	PROF ENG SCI TECH	STAFF	3.75
S	2006	1	5500495	6	ENG ACT	STAFF	3.63
S	2006	2	5500495	1	ENG ACT	STAFF	3.88
S	2007	1	2002607	1	COMP AID DSGN MANU	STAFF	3.47
S	2007	2	2002609	1	FIN ANAL CONT SYS	STAFF	3.42
S	2007	2	2002611	1	COM DSGN MGT	STAFF	3.57
S	2007	1	2002627	1	STRAT MKT	STAFF	3.53
S	2007	1	2002630	1	PROJ PLAN MGT CONT	STAFF	3.69
S	2007	1	2002644	1	SUP CHAIN MGT	STAFF	3.35
S	2007	1	2002648	1	OP STG IND	STAFF	3.27
S	2007	1	2002650	1	ADV TOP ENG MGT II	STAFF	3.18
S	2007	1	2020600	1	INTRO BME	STAFF	4.00
S	2007	1	2020601	1	BASIC ENG BME	STAFF	3.00
S	2007	2	2020612	1	TISSUE CELL ENG	STAFF	3.50
S	2007	1	2020697	1	INDIVIDUAL STUDY	STAFF	4.00
S	2007	2	2020697	1	INDIVIDUAL STUDY	STAFF	4.00
S	2007	1	2101202	1	MECH MAT I	WSK,STAFF	2.64
S	2007	2	2101202	1	MECH MAT I	PPS	1.99
S	2007	2	2101202	2	MECH MAT I	WSK,STAFF	2.25
S	2007	2	2101202	3	MECH MAT I	STAFF	2.21
S	2007	3	2101202	1	MECH MAT I	STAFF	.75
S	2007	1	2101250	1	CIV ENG CONC	VCC,NJK	2.61
S	2007	1	2101302	1	MAT TESTING LAB	STAFF	2.88
S	2007	2	2101302	1	MAT TESTING LAB	STAFF	3.00
S	2007	1	2101307	1	RC DESIGN	STAFF	2.13
S	2007	1	2101307	1	RC DESIGN	VCV,ELS	2.13
S	2007	2	2101307	1	RC DESIGN	VCV,ELS	2.63
S	2007	2	2101307	1	RC DESIGN	STAFF	2.63
S	2007	1	2101308	1	MECH MAT II	PPS	2.53
S	2007	1	2101308	2	MECH MAT II	TSC	2.47
S	2007	1	2101308	3	MECH MAT II	STAFF	2.36
S	2007	2	2101308	1	MECH MAT II	CST,STAFF	2.19
S	2007	1	2101310	1	STRUCT ANAL I	CCD	2.24
S	2007	1	2101310	2	STRUCT ANAL I	BST	2.22
S	2007	1	2101310	3	STRUCT ANAL I	JRR	2.79
S	2007	2	2101310	1	STRUCT ANAL I	TPS,STAFF	2.62
S	2007	2	2101311	1	CIV ENG MAT	STAFF	2.49
S	2007	1	2101312	1	STRUCT ANAL II	TPS	2.11
S	2007	1	2101312	2	STRUCT ANAL II	STAFF	1.40
S	2007	2	2101312	1	STRUCT ANAL II	TPS	2.19
S	2007	2	2101312	2	STRUCT ANAL II	JRR	2.31
S	2007	1	2101321	1	SOIL MECHS	TSS,TTN,STAFF	3.00
S	2007	1	2101321	2	SOIL MECHS	TTN,TSS,STAFF	2.89
S	2007	2	2101321	1	SOIL MECHS	STS,STAFF	2.34
S	2007	2	2101321	2	SOIL MECHS	STS,STAFF	1.50
S	2007	2	2101321	2	SOIL MECHS	STAFF,STS	1.50
S	2007	2	2101321	3	SOIL MECHS	STAFF	1.90
S	2007	2	2101321	4	SOIL MECHS	STAFF	2.28
S	2007	1	2101322	1	SOIL MECHS LAB	STAFF	3.58
S	2007	2	2101322	1	SOIL MECHS LAB	STAFF	3.02
S	2007	2	2101322	2	SOIL MECHS LAB	STAFF	3.06
S	2007	2	2101322	3	SOIL MECHS LAB	STAFF	3.19
S	2007	2	2101322	4	SOIL MECHS LAB	STAFF	2.83
S	2007	2	2101334	1	TRANS SYS OPN	SCP,SSS,SNR	3.01
S	2007	1	2101350	1	INTRO EE ME ENV	STAFF	2.86
S	2007	2	2101350	1	INTRO EE ME ENV	STAFF	2.66
S	2007	2	2101390	1	FUND OF C.E.	STAFF	2.86
S	2007	1	2101403	1	TIMBER & STEEL DES	CSI,VCV	2.21
S	2007	1	2101403	1	TIMBER & STEEL DES	STAFF	2.21
S	2007	3	2101403	1	TIMBER & STEEL DES	VCV	1.00
S	2007	1	2101421	1	GEO ENG DES CONS	STAFF	2.69
S	2007	1	2101421	2	GEO ENG DES CONS	STAFF	3.16
S	2007	2	2101421	1	GEO ENG DES CONS	STAFF	2.98
S	2007	2	2101421	2	GEO ENG DES CONS	STAFF	3.56
S	2007	1	2101430	1	ROAD TRANS INFRA	AIS	2.56
S	2007	1	2101430	2	ROAD TRANS INFRA	SNR	2.88
S	2007	3	2101430	1	ROAD TRANS INFRA	STAFF	3.50
S	2007	2	2101454	1	CONST MANAGEMENT	VCC	2.63
S	2007	2	2101454	2	CONST MANAGEMENT	STAFF	3.07
S	2007	1	2101455	1	CONS ENG CONST EST	STAFF	3.16
S	2007	1	2101455	2	CONS ENG CONST EST	STAFF	2.91
S	2007	1	2101455	3	CONS ENG CONST EST	NJK	2.93
S	2007	2	2101461	1	BUILD DESIGN	TTC	3.45
S	2007	2	2101461	1	BUILD DESIGN	TTC,TPK	3.45
S	2007	1	2101462	1	PREST CONC DESIGN	PLK,CSI	3.32
S	2007	1	2101495	1	ADV TOP IN CE I	DLV	3.64
S	2007	2	2101495	1	ADV TOP IN CE I	STAFF	3.73
S	2007	2	2101499	1	CIVIL ENG PROJECT	STAFF	3.70
S	2007	2	2101512	2	ADV CONC TECH	STAFF	3.25
S	2007	1	2101515	1	AIR TRANS SYS	STAFF	3.18
S	2007	2	2101543	1	PAVEMENT DESIGN I	DLS	3.33
S	2007	1	2101545	1	AIRPORT DESIGN	AIS	3.50
S	2007	2	2101590	1	CONS TECH & PRODUC	TTT,NJK	3.44
S	2007	1	2101601	1	ADV STRUCT THEORY	PLK	3.07
S	2007	2	2101602	1	BEHAV RC MEMBERS	ELS	3.00
S	2007	2	2101606	1	DYN AND VIBRATIONS	PLK,TPK	3.11
S	2007	1	2101607	1	ADV MECH OF MATS	SSM,PPS	3.63
S	2007	2	2101611	1	MATR ANA OF STRUC	PLK,CCD	3.25
S	2007	1	2101614	1	BEHAV STEEL STRUCT	TTC	3.54
S	2007	1	2101617	1	STR BUILD COMP	ELS	3.67
S	2007	2	2101618	1	FIN ELE MET FOR CE	TSC,TPS	3.42
S	2007	1	2101619	1	SEISMIC DES OF STR	PLK,TPK,STAFF	3.28
S	2007	1	2101620	1	ADV SOIL MECH I	WTS,STAFF	3.50
S	2007	2	2101621	1	FOUNDATION ENG	WTS	3.43
S	2007	2	2101622	1	EARTH STRUCTURES	STS,TSS	3.86
S	2007	2	2101628	1	ADV SOIL MECH II	STAFF	3.08
S	2007	1	2101629	1	THEORY SOIL MECH	STAFF	2.90
S	2007	1	2101630	1	PHY MIN PROP SOILS	BLW	3.20
S	2007	1	2101631	1	GEOMECHANICS	STAFF	3.50
S	2007	1	2101634	1	PLAS IN SOIL MECH	STAFF	4.00
S	2007	2	2101634	1	PLAS IN SOIL MECH	STAFF	4.00
S	2007	1	2101635	1	SOIL DYN EARTH ENG	WTS	3.70
S	2007	1	2101636	1	INT FLD/SOIL TEST	STS,TSS	3.58
S	2007	1	2101636	1	INT FLD/SOIL TEST	TSS	3.58
S	2007	1	2101639	1	SPEC ST SOIL ENG	WTS	3.67
S	2007	2	2101640	1	HIGHWAY PLANNING	SCP	3.42
S	2007	2	2101641	1	TRAFFIC ENG	SNR	3.56
S	2007	2	2101642	1	GEO DESIGN OF HWYS	AIS	3.30
S	2007	2	2101644	1	URB TRANS PLANNING	SSS	3.17
S	2007	1	2101649	1	PROB FOR C E	DLV	3.32
S	2007	1	2101650	1	TRAN TECH	SSS	3.11
S	2007	1	2101651	1	TRAF CHA OP	SNR	3.75
S	2007	1	2101680	1	APPLIED MATH I	TPK,CCD	3.08
S	2007	1	2101681	1	APPLIED MATH II	SSM,TSC	3.40
S	2007	1	2101690	1	CONST METH & EQUIP	TTT,NJK	3.46
S	2007	2	2101691	1	SPECIAL STUDIES	NJK	3.94
S	2007	2	2101692	1	ANALYTIC CONS MGMT	AR	3.54
S	2007	2	2101693	1	PROB ANAL CONS IND	STAFF	3.35
S	2007	2	2101693	1	PROB ANAL CONS IND	VCC	3.35
S	2007	1	2101694	1	CONTRACT CONS BUS	VCC	3.34
S	2007	1	2101694	2	CONTRACT CONS BUS	VCC	3.11
S	2007	2	2101695	1	COMP APPL CONST	TTT	3.21
S	2007	1	2101696	1	PROJ PLAN/CONT	TTT,STAFF	3.35
S	2007	1	2101697	1	INFRA PLAN&MGT	STAFF	3.29
S	2007	1	2101701	1	INFSTRUC	STAFF	3.21
S	2007	2	2101702	1	INFSTRUC OPN/MNTN	STAFF	3.50
S	2007	1	2101703	1	INDIVIDUAL STUDY	STAFF	3.50
S	2007	2	2101703	1	INDIVIDUAL STUDY	STAFF	3.63
S	2007	1	2101704	1	LARGE PROJ IMP	TSS	3.50
S	2007	2	2101705	1	INFSTRUC	STAFF,TTT,NJK	3.42
S	2007	1	2101707	1	GEOTECH DES CONS	STAFF	3.25
S	2007	1	2101708	1	CE INFSTRUC CONS	NJK	3.29
S	2007	1	2101710	1	INFSTRUC MON/ASSMT	BST	3.79
S	2007	2	2101712	1	PUB INV/FIN PROJ	STAFF	3.39
S	2007	2	2101715	1	ADV TOP INFSTRUC	TST	3.88
S	2007	1	2101791	1	SEM IN C E II	STAFF	4.00
S	2007	2	2101791	1	SEM IN C E II	STAFF	4.00
S	2007	2	2101792	1	SEM IN C E III	STAFF	4.00
S	2007	1	2102201	1	ELECT ENG MATH I	MWS,CPP	2.50
S	2007	2	2102201	1	ELECT ENG MATH I	SNP	2.54
S	2007	2	2102201	2	ELECT ENG MATH I	MWS	2.90
S	2007	1	2102203	1	PROB STAT ELEC ENG	SAV,STAFF	2.07
S	2007	2	2102203	1	PROB STAT ELEC ENG	DBP	2.56
S	2007	2	2102203	2	PROB STAT ELEC ENG	SAV,STAFF	2.50
S	2007	2	2102203	3	PROB STAT ELEC ENG	CAK	2.67
S	2007	1	2102204	1	MATH EE I	MSS	2.66
S	2007	1	2102204	2	MATH EE I	MSY	2.32
S	2007	1	2102204	3	MATH EE I	MWS	2.71
S	2007	2	2102204	1	MATH EE I	MSS	1.50
S	2007	1	2102205	1	MATH EE II	NTS	3.00
S	2007	2	2102205	1	MATH EE II	SAR	2.23
S	2007	2	2102205	2	MATH EE II	MSS	2.24
S	2007	2	2102205	3	MATH EE II	STAFF	2.32
S	2007	1	2102207	1	SIGNALS SYSTEMS	CCR,WKG	2.83
S	2007	2	2102207	1	SIGNALS SYSTEMS	WKG	2.03
S	2007	2	2102207	2	SIGNALS SYSTEMS	CCR	2.03
S	2007	2	2102207	3	SIGNALS SYSTEMS	BSC	2.00
S	2007	1	2102208	1	PROP MAT EE	SKJ,SPY	2.63
S	2007	2	2102208	1	PROP MAT EE	BTP	2.42
S	2007	2	2102208	2	PROP MAT EE	SPY	2.54
S	2007	2	2102208	3	PROP MAT EE	CAT	2.55
S	2007	1	2102210	1	CIRCUIT THEORY I	CAT	2.54
S	2007	1	2102210	2	CIRCUIT THEORY I	MSY,CTS	2.56
S	2007	1	2102210	3	CIRCUIT THEORY I	CCR	2.41
S	2007	2	2102210	1	CIRCUIT THEORY I	MSY,CTS	3.55
S	2007	1	2102211	1	ELEC CIRCUIT LAB	STAFF	2.50
S	2007	2	2102211	1	ELEC CIRCUIT LAB	SRT	2.45
S	2007	2	2102211	2	ELEC CIRCUIT LAB	STAFF	2.19
S	2007	2	2102211	3	ELEC CIRCUIT LAB	STAFF	2.41
S	2007	2	2102211	4	ELEC CIRCUIT LAB	STAFF	2.41
S	2007	1	2102222	1	ENG EMAG	TAK	2.57
S	2007	1	2102222	2	ENG EMAG	DWS	2.98
S	2007	2	2102222	1	ENG EMAG	TAK	2.22
S	2007	2	2102222	2	ENG EMAG	DWS	2.83
S	2007	1	2102252	1	ELEC MACH I	SSV	2.01
S	2007	2	2102252	1	ELEC MACH I	CCC	2.40
S	2007	2	2102252	2	ELEC MACH I	SSK	2.91
S	2007	2	2102252	3	ELEC MACH I	KPR	1.70
S	2007	1	2102282	1	DIGITAL ETRON	WPR	2.18
S	2007	1	2102282	2	DIGITAL ETRON	BSC	2.23
S	2007	1	2102282	3	DIGITAL ETRON	SPR	2.46
S	2007	2	2102282	1	DIGITAL ETRON	WPR	2.83
S	2007	2	2102310	1	CIRCUIT THEORY II	CPP	4.00
S	2007	1	2102311	1	ELEC MEAS/INSTRU	SCK,ATM	2.34
S	2007	2	2102311	1	ELEC MEAS/INSTRU	SCK	3.09
S	2007	2	2102311	2	ELEC MEAS/INSTRU	MSY	2.87
S	2007	2	2102311	3	ELEC MEAS/INSTRU	ATM	2.28
S	2007	1	2102312	1	CIRCUIT THEORY II	NHC	2.28
S	2007	1	2102312	2	CIRCUIT THEORY II	SAR	2.26
S	2007	1	2102312	3	CIRCUIT THEORY II	SSK	2.12
S	2007	2	2102312	1	CIRCUIT THEORY II	CPP	2.13
S	2007	2	2102320	1	ELECTROMAG WAV II	TAK	3.50
S	2007	2	2102322	1	TELECOM TRANS	PKP	3.83
S	2007	1	2102331	1	FEED CONT SYS LAB	DBP	4.00
S	2007	1	2102332	1	LIN CONT SYS I	SPN	2.35
S	2007	1	2102332	2	LIN CONT SYS I	SAR	2.25
S	2007	1	2102332	3	LIN CONT SYS I	DBP,STAFF	2.06
S	2007	2	2102332	1	LIN CONT SYS I	WKG	2.27
S	2007	1	2102350	1	EMECH EGY CONV II	WRP	4.00
S	2007	1	2102355	1	ELEC MACH LAB	SSK	3.15
S	2007	1	2102355	2	ELEC MACH LAB	STAFF	3.23
S	2007	1	2102355	3	ELEC MACH LAB	STAFF	3.40
S	2007	2	2102355	1	ELEC MACH LAB	SSK	3.08
S	2007	2	2102355	2	ELEC MACH LAB	STAFF	3.22
S	2007	2	2102356	1	ELEC MACH II	SSV	2.65
S	2007	1	2102360	1	ELEC POWER SYS I	BEA,HBM	2.94
S	2007	1	2102360	2	ELEC POWER SYS I	NHC,STAFF	2.67
S	2007	1	2102360	3	ELEC POWER SYS I	SPS,STAFF	2.41
S	2007	2	2102360	1	ELEC POWER SYS I	HBM,STAFF	2.48
S	2007	1	2102370	1	PRINC COMM	WBK	2.99
S	2007	1	2102370	2	PRINC COMM	LWK	2.88
S	2007	1	2102370	3	PRINC COMM	CAK,STAFF	3.06
S	2007	2	2102370	1	PRINC COMM	WBK,LWK	3.31
S	2007	1	2102382	1	ETRON CIRCUITS	CSN,YKT	2.61
S	2007	2	2102382	1	ETRON CIRCUITS	YKT	2.67
S	2007	2	2102382	2	ETRON CIRCUITS	CSN	2.50
S	2007	2	2102382	3	ETRON CIRCUITS	ELR	2.92
S	2007	1	2102384	1	ETRON LAB	ATM,STAFF	3.08
S	2007	2	2102384	1	ETRON LAB	CSN	2.63
S	2007	2	2102384	2	ETRON LAB	STAFF	3.18
S	2007	2	2102384	3	ETRON LAB	STAFF	2.96
S	2007	1	2102385	1	SEMICON DEV I	BTP	2.63
S	2007	1	2102385	2	SEMICON DEV I	SRT	2.36
S	2007	1	2102385	3	SEMICON DEV I	TCP	2.42
S	2007	2	2102385	1	SEMICON DEV I	SKJ	2.29
S	2007	1	2102391	1	ELEC ENG I	CBM,STAFF	2.92
S	2007	1	2102391	2	ELEC ENG I	STAFF	2.63
S	2007	1	2102391	3	ELEC ENG I	HBM	2.39
S	2007	1	2102391	4	ELEC ENG I	SPS	1.72
S	2007	1	2102391	5	ELEC ENG I	WRP	2.76
S	2007	2	2102391	1	ELEC ENG I	CBM,STAFF	2.97
S	2007	2	2102391	2	ELEC ENG I	WRP	2.77
S	2007	2	2102391	3	ELEC ENG I	HBM	2.89
S	2007	2	2102391	4	ELEC ENG I	SPS	2.68
S	2007	2	2102391	5	ELEC ENG I	BTP	2.54
S	2007	2	2102391	6	ELEC ENG I	STAFF	3.00
S	2007	3	2102391	1	ELEC ENG I	STAFF	1.72
S	2007	1	2102392	1	ELEC ENG LAB I	CBM	2.82
S	2007	1	2102392	2	ELEC ENG LAB I	STAFF	3.15
S	2007	1	2102392	3	ELEC ENG LAB I	STAFF	3.29
S	2007	1	2102392	4	ELEC ENG LAB I	STAFF	3.09
S	2007	2	2102392	1	ELEC ENG LAB I	CBM	2.97
S	2007	2	2102392	2	ELEC ENG LAB I	STAFF	2.93
S	2007	2	2102392	3	ELEC ENG LAB I	STAFF	3.24
S	2007	2	2102392	4	ELEC ENG LAB I	STAFF	3.19
S	2007	2	2102392	5	ELEC ENG LAB I	STAFF	2.92
S	2007	1	2102401	1	RANDOM PROC EE	DBP,CPP	2.80
S	2007	2	2102420	1	PRINC OF ANTENNAS	TAK	3.73
S	2007	1	2102421	1	PRIN MICROWAVE ENG	TAK	3.50
S	2007	2	2102422	1	PRIN TELECOMM	PTP,LWK	3.45
S	2007	2	2102423	1	DIG SIG PROC	SNP,CPP	2.97
S	2007	2	2102423	2	DIG SIG PROC	NTS,WAS	2.94
S	2007	1	2102425	1	DATA COMM	WBK	3.30
S	2007	1	2102426	1	TRAF ENG COMM NET	CAK	3.39
S	2007	1	2102427	1	MMEDIA COMPR TECH	SAV	3.27
S	2007	1	2102428	1	INTRO IMAGE PROC	WAS,CPP	3.21
S	2007	1	2102432	1	LIN CONT SYS II	SPN	2.82
S	2007	1	2102433	1	DIG CONT SYS	MWS	3.72
S	2007	2	2102434	1	IND CONT/INSTRU	SPN	4.00
S	2007	2	2102440	1	INTRO MICROPROC	SPR	3.54
S	2007	1	2102446	1	FUND POWER ETRONIC	CSN,YKT	3.04
S	2007	1	2102446	2	FUND POWER ETRONIC	YKT	2.83
S	2007	1	2102455	1	ILLUM ENG	CCC	3.44
S	2007	1	2102456	1	ELEC SYS DES	SPV	2.98
S	2007	1	2102458	1	HV ENG I	KPR	2.68
S	2007	2	2102459	1	HV ENG LAB I	KPR	3.89
S	2007	2	2102461	1	ELEC POWER SYS II	BEA,NHC,KAR	2.51
S	2007	2	2102463	1	ELEC POW SYS PROT	CBM	3.23
S	2007	2	2102473	1	COMM ENG LAB	PKP,STAFF	4.00
S	2007	2	2102473	2	COMM ENG LAB	CSC	4.00
S	2007	1	2102474	1	COMM SYSTEM DESIGN	PTP	3.42
S	2007	1	2102479	1	OPTIC FIBER COMM	DWS	3.61
S	2007	2	2102487	1	INDUSTRIAL ETRON	SCK,ATM	3.17
S	2007	2	2102488	1	SEMICON DEV II	CAT,CWW	2.74
S	2007	1	2102489	1	PRIN ANALOG CIR	ELR	3.23
S	2007	1	2102491	1	ELEC ENG II	TCP	2.05
S	2007	1	2102491	2	ELEC ENG II	JPL	2.15
S	2007	2	2102491	1	ELEC ENG II	TCP,JPL	2.25
S	2007	1	2102492	1	ELEC ENG LAB II	ATM,STAFF	3.23
S	2007	1	2102492	2	ELEC ENG LAB II	STAFF	3.43
S	2007	1	2102492	3	ELEC ENG LAB II	STAFF	3.35
S	2007	2	2102492	1	ELEC ENG LAB II	TCP	3.10
S	2007	2	2102499	1	ELEC PROJECT	SAV	3.85
S	2007	1	2102502	1	RDM SIG/SYS	SNP	3.13
S	2007	1	2102504	1	INTRO MATH ANAL	WKG	3.40
S	2007	1	2102505	1	INTRO OPT TECH	SAR	3.20
S	2007	2	2102507	1	COMP TECH ENGS	SAR,DBP	3.12
S	2007	2	2102520	1	OPTIC TRANS/NETWK	PKP	3.93
S	2007	2	2102531	1	SYSTEM IDENT	MWS	3.90
S	2007	1	2102536	1	NONLIN CONT SYS I	WKG	4.00
S	2007	2	2102540	1	MICROCOMPUTER SYS	WPR	3.73
S	2007	2	2102543	1	ADV ELEC MOT DRI	SSK	3.38
S	2007	1	2102545	1	DIG IC	BSC	3.50
S	2007	2	2102546	1	ANALOG IC	ELR	2.90
S	2007	1	2102548	1	SWIT PWR PROC I	YKT,CSN	3.50
S	2007	1	2102549	1	SEMICOND FAB TECH	BTP	3.88
S	2007	1	2102551	1	COMP METH PWR SYS	SPS,STAFF	3.33
S	2007	2	2102553	1	FUND EMC	WRP	3.70
S	2007	1	2102554	1	POW SYS HARM	CCC,STAFF	3.63
S	2007	2	2102557	1	HIGH VOL ENG II	KPR	3.42
S	2007	2	2102571	1	MULTIMEDIA COMM	SAV	3.75
S	2007	2	2102572	1	TELECOM TECH MGT	PTP	3.82
S	2007	1	2102576	1	DIG SIG PROC	SJP	2.40
S	2007	1	2102577	1	TELECOM NETWORKS	PTP	3.36
S	2007	2	2102578	1	SATELLITE COMM	PTP	3.75
S	2007	1	2102581	1	DIGITAL CIR DESIGN	SPR	3.66
S	2007	2	2102582	1	PHO DEV OP COMM	CWW	3.50
S	2007	1	2102583	1	INTRO QUANTUM MECH	MSS	3.17
S	2007	1	2102584	1	INTRO NANOELEC	SKJ	3.55
S	2007	1	2102588	1	BIOMEDICAL ELEC	CTS	3.17
S	2007	1	2102589	1	LASER ENGIN	SPY	3.58
S	2007	1	2102598	1	SPEC PROB IN EE.	PKP	3.93
S	2007	2	2102598	2	SPEC PROB IN EE.	WAS	3.83
S	2007	2	2102598	4	SPEC PROB IN EE.	SPV	4.00
S	2007	2	2102605	1	FOURIER TRANS APP	SJP	4.00
S	2007	1	2102620	1	ELECTRO THEORY	TAK	3.50
S	2007	2	2102627	1	RELIA COMM NETWK	CSC	3.72
S	2007	1	2102628	1	GRAPH COMB OPTIM	STAFF	3.72
S	2007	2	2102629	1	TRAF ENG QUEU THEO	CAK	3.71
S	2007	1	2102635	1	CONT SYSTEM THEORY	DBP	3.14
S	2007	2	2102637	1	MULTIVAR CONT SYS	SAR	4.00
S	2007	2	2102640	1	MICRO BAS SYS DES	ELR,STAFF	3.50
S	2007	1	2102641	1	COMP AID ANAL ELEC	ELR	3.70
S	2007	2	2102642	1	COMP VSN VDO ELEC	SPR	3.67
S	2007	1	2102644	1	MICRO BAS INSTRU	BSC,WPR	3.60
S	2007	1	2102650	1	ELEC TRAN POW SYS	KPR	3.57
S	2007	2	2102651	1	POWER SYS STABILIT	NHC	3.92
S	2007	1	2102652	1	ECON DIS POWER SYS	SPV	3.31
S	2007	2	2102655	1	ADV ILLUM ENGINEER	CCC	3.50
S	2007	1	2102656	1	POWER SYS PROT	CBM	3.45
S	2007	2	2102663	1	SOLAR CELL TECH	SPY	3.63
S	2007	2	2102674	1	OPTICAL COMM	DWS	3.75
S	2007	2	2102675	1	PATTERN RECOG	CCR,WAS	3.75
S	2007	2	2102676	1	DIG IMAGE PROC	CPP	3.83
S	2007	1	2102677	1	BROADBAND NET DES	WBK,STAFF	3.70
S	2007	1	2102682	2	SOLID-STATE PHYS	CWW,SPY	3.83
S	2007	2	2102686	1	SWIT PWR PROC II	CSN,YKT	3.75
S	2007	2	2102698	1	ADV TOPIC ELEC ENG	TTN	3.67
S	2007	2	2102732	1	CONVEX OPTIM APPL	DBP	4.00
S	2007	2	2102755	1	PWR SYS TRANS SIM	CBM	3.50
S	2007	2	2102757	1	PWR SYS RELIA	BEA	3.75
S	2007	1	2102770	1	WIR COMM NETWK	LWK	3.94
S	2007	2	2102771	1	INT NETWK SEC	LWK	4.00
S	2007	2	2102774	1	TC SWIT TRANS SIG	WBK	3.50
S	2007	2	2102781	1	PHY SPEC SEMI DEV	SRT	4.00
S	2007	2	2102796	1	ADV TOP E ENG I	BEA	3.25
S	2007	1	2102874	1	SPEECH PROC	NTS,WAS	4.00
S	2007	1	2102875	1	DIG VIDEO PROC	SAV	3.50
S	2007	1	2102876	1	ADAP SIGN PROC	CCR,NTS	3.75
S	2007	1	2103105	1	ENG DRAW FUND	STAFF	3.07
S	2007	1	2103105	2	ENG DRAW FUND	STAFF	2.51
S	2007	1	2103105	3	ENG DRAW FUND	STAFF	2.43
S	2007	1	2103105	4	ENG DRAW FUND	STAFF	2.79
S	2007	1	2103105	5	ENG DRAW FUND	STAFF	2.76
S	2007	1	2103105	6	ENG DRAW FUND	STAFF	2.82
S	2007	2	2103105	1	ENG DRAW FUND	STAFF	2.82
S	2007	2	2103105	2	ENG DRAW FUND	STAFF	2.89
S	2007	2	2103105	3	ENG DRAW FUND	STAFF	2.94
S	2007	2	2103105	4	ENG DRAW FUND	STAFF	2.98
S	2007	2	2103105	5	ENG DRAW FUND	STAFF	2.98
S	2007	2	2103105	6	ENG DRAW FUND	STAFF	2.45
S	2007	2	2103203	1	MECH DRAWING	STAFF	3.06
S	2007	2	2103203	1	MECH DRAWING	PSK,CRW	3.06
S	2007	1	2103204	1	DES GEOMETRY	SWS	3.53
S	2007	1	2103211	1	STATICS	TPP	1.82
S	2007	1	2103211	2	STATICS	KMN	1.48
S	2007	1	2103211	3	STATICS	TSN	1.46
S	2007	1	2103211	4	STATICS	NNW	1.86
S	2007	3	2103211	1	STATICS	STAFF	2.62
S	2007	2	2103212	1	DYNAMICS	SWS	2.56
S	2007	2	2103212	2	DYNAMICS	CKK	2.62
S	2007	2	2103212	3	DYNAMICS	SCW	2.30
S	2007	2	2103212	4	DYNAMICS	PLP	2.19
S	2007	2	2103212	5	DYNAMICS	NNW	2.46
S	2007	2	2103212	6	DYNAMICS	STAFF	2.87
S	2007	1	2103213	1	ENG MECHANICS I	STAFF	2.21
S	2007	1	2103213	10	ENG MECHANICS I	STAFF	2.56
S	2007	1	2103213	11	ENG MECHANICS I	PPT	2.01
S	2007	1	2103213	2	ENG MECHANICS I	MTK	2.51
S	2007	1	2103213	3	ENG MECHANICS I	CHT	2.52
S	2007	1	2103213	4	ENG MECHANICS I	STAFF	2.52
S	2007	1	2103213	5	ENG MECHANICS I	PLP	2.02
S	2007	1	2103213	6	ENG MECHANICS I	SWS	2.35
S	2007	1	2103213	7	ENG MECHANICS I	JMP	2.41
S	2007	1	2103213	8	ENG MECHANICS I	PTP	2.72
S	2007	1	2103213	9	ENG MECHANICS I	SBK	2.36
S	2007	2	2103213	1	ENG MECHANICS I	STAFF	1.17
S	2007	2	2103213	2	ENG MECHANICS I	STAFF	1.50
S	2007	2	2103213	3	ENG MECHANICS I	SBK	2.24
S	2007	2	2103213	4	ENG MECHANICS I	MTK	2.58
S	2007	2	2103213	5	ENG MECHANICS I	STAFF	2.53
S	2007	2	2103231	1	MECH OF MAT I	CBJ	2.37
S	2007	2	2103231	2	MECH OF MAT I	SBK	2.21
S	2007	2	2103231	3	MECH OF MAT I	JMP	2.28
S	2007	2	2103231	4	MECH OF MAT I	PSG	2.56
S	2007	2	2103231	5	MECH OF MAT I	TPP	2.97
S	2007	2	2103231	6	MECH OF MAT I	KMN	2.35
S	2007	2	2103231	7	MECH OF MAT I	TSN	2.75
S	2007	2	2103231	8	MECH OF MAT I	STAFF	2.42
S	2007	3	2103231	1	MECH OF MAT I	CHT	3.47
S	2007	1	2103241	1	THERMODYNAMICS I	MTP	2.42
S	2007	1	2103241	2	THERMODYNAMICS I	CTT	2.62
